Rtype,RegionCode,RegionName,Duration_2005,Duration_2010,Duration_2011,Duration_2012,Duration_2013,Duration_2014,Duration_2015,Duration_2016,Duration_male_2005,Duration_male_2010,Duration_male_2011,Duration_male_2012,Duration_male_2013,Duration_male_2014,Duration_male_2015,Duration_male_2016,Duration_female_2005,Duration_female_2010,Duration_female_2011,Duration_female_2012,Duration_female_2013,Duration_female_2014,Duration_female_2015,Duration_female_2016,Morbidity_2005,Morbidity_2010,Morbidity_2011,Morbidity_2012,Morbidity_2013,Morbidity_2014,Morbidity_2015,Morbidity_2016
fregion,Northwestern,Северо-Западный федеральный округ,64.17,68.9,70.07,70.57,71.25,71.42,71.7,72.16,57.48,62.94,64.17,64.84,65.65,65.86,66.28,66.79,71.6,74.82,75.81,76.08,76.57,76.73,76.83,77.2,758.9,850.8,860.4,860.4,856.6,853.5,877.3,930.2
fdistrict,RU-KR,Республика Карелия,61.84,66.42,67.95,68,69.19,69.36,69.16,69.78,55.03,59.82,61.75,61.42,63.17,62.99,62.86,63.72,69.85,73.41,74.23,74.7,75.05,75.69,75.5,75.74,1027.1,1078.8,1100.9,1076.1,1115.4,1113.8,1114.3,1126.2
fregion,RU-KO,Республика Коми,62.12,66.87,67.95,68.33,69.27,69.05,69.4,69.45,55.82,60.73,61.62,62.27,63.22,63.05,63.26,63.61,69.46,73.32,74.58,74.54,75.39,75.12,75.66,75.3,960.4,1035.2,1047.2,1053.5,1047.4,1054.8,1072,1121.2
fregion,RU-ARK,Архангельская область,62.97,67.99,68.84,69.71,70.27,70.2,70.7,70.8,56.18,61.77,62.78,63.8,64.27,64.16,64.84,64.96,71.08,74.59,75.06,75.64,76.3,76.32,76.6,76.65,903,1021.4,1036.3,1042.3,1008.6,991.3,1015.9,1002.2
fregion,RU-NEN,Ненецкий автономный округ,62.97,64.92,66.71,68.21,65.76,70.65,71,71.08,55.59,59.15,60.61,62,60.22,64.72,65.22,63.86,72.43,71.36,73.47,75.86,75.21,76.21,76.9,78.36,1632.4,1813.8,1750.4,1752,1573.1,1436.8,1421.4,1380.7
fregion,RU-VLG,Вологодская область,63.18,67.08,68.36,69.21,69.35,69.74,70.4,70.24,56.12,60.61,62.05,63.09,63.21,63.66,64.38,64.15,71.72,74.17,75.06,75.52,75.63,75.93,76.47,76.42,803.1,886.3,882.4,867.9,849.2,853.1,889.4,917.6
fregion,RU-KGD,Калининградская область,61.48,68.75,69.9,70.12,70.51,70.28,70.58,71.92,54.86,63.26,64.38,64.82,65.1,64.82,65.5,66.98,69.35,74.16,75.26,75.17,75.68,75.58,75.4,76.54,702.7,799.9,811.8,811.8,810.5,755.1,701.5,823.4
fregion,RU-LEN,Ленинградская область,62.43,68.09,69.44,69.77,70.36,70.28,71.23,71.7,55.74,62.21,63.53,64.07,64.73,64.78,65.84,66.49,70.21,74.14,75.48,75.57,76.05,75.87,76.6,76.82,518.7,548.5,553.4,554,533.4,584.6,617,664.1
fregion,RU-MUR,Мурманская область,63.83,68.43,68.93,69.81,70.46,69.97,70.24,70.94,57.65,62.69,62.97,63.94,65.15,64.02,64.48,65.71,70.46,73.9,74.62,75.34,75.26,75.72,75.72,75.61,799.3,891.9,851.2,853.3,896.7,850.3,835.5,875.8
fregion,RU-NGR,Новгородская область,61.76,65.04,66.46,67.55,67.67,68.41,68.7,69.15,54.74,58.47,59.71,61.03,60.89,62.29,62.47,62.92,70.12,72.15,73.61,74.24,74.75,74.49,74.93,75.39,834.6,881.7,897.1,897.1,939.6,931.2,896.5,887.6
fregion,RU-PSK,Псковская область,60.2,64.59,66.47,66.53,67.82,68.07,68.48,69.25,53.81,58.04,60.3,60.24,61.81,62.13,62.78,63.41,68.15,72.05,73.1,73.37,74.05,74.21,74.27,75.19,595.6,677.2,676,680,697.7,667.1,660.6,709.5
fregion,RU-SPE,г. Санкт-Петербург,68.03,72.06,73.06,73.43,74.22,74.57,74.42,74.9,61.67,66.76,67.79,68.43,69.43,69.83,69.83,70.25,74.28,76.79,77.71,77.81,78.38,78.68,78.38,78.94,724.9,857.1,878.8,883.5,877.2,877.7,931.5,1009.6
fregion,Southern,Южный федеральный округ,67.14,70.12,70.65,71.26,71.76,71.74,72.13,72.29,61.05,64.67,65.3,65.98,66.59,66.54,67.05,67.24,73.66,75.59,75.96,76.46,76.79,76.83,77.06,77.17,677.8,685.6,709.6,716.4,723.2,688.1,669,680.1
fdistrict,RU-AD,Республика Адыгея,68.07,69.95,70.99,71.68,71.8,72.01,72.22,72.59,61.93,64.28,65.8,66.35,66.55,66.85,66.88,67.66,74.59,75.74,76.14,76.96,76.97,77.06,77.51,77.35,628.7,694.8,690,688.7,654.8,647.6,659.4,661.1
fregion,RU-KL,Республика Калмыкия,67.24,69.35,70.8,71.22,71.35,72.03,72.15,73.35,61.17,63.85,65.18,65.78,65.65,67.01,67.01,67.78,73.87,75.08,76.62,76.83,77.25,77.03,77.31,78.94,700.6,680,667.9,719.8,694.3,660.6,658.5,719.9
fregion,RU-KDA,Краснодарский край,67.55,70.95,71.15,71.74,72.29,72.28,72.53,72.83,61.59,65.63,66.03,66.64,67.16,67.2,67.55,67.85,73.91,76.22,76.16,76.7,77.27,77.23,77.35,77.64,555.6,575.5,621.3,646.8,665.5,662.3,649.5,669.9
fregion,RU-AST,Астраханская область,65.36,69.08,69.84,70.36,71.34,70.76,71.36,72.2,58.44,63.32,64.24,64.88,65.91,65.53,66.1,66.9,72.98,74.98,75.55,75.84,76.72,75.97,76.58,77.43,705.9,744.4,739,703,681.6,669.1,620.6,646.7
fregion,RU-VGG,Волгоградская область,67.02,69.66,70.5,70.99,71.42,71.62,71.98,72.49,60.74,64.09,64.9,65.33,66.11,66.11,66.68,67.26,73.81,75.28,76.1,76.59,76.57,77.04,77.13,77.53,716.7,710.2,708.6,699.8,720.1,671,644.3,643.5
fregion,RU-ROS,Ростовская область,66.99,69.72,70.28,71.02,71.39,71.3,71.9,72.2,61.06,64.28,64.86,65.79,66.34,66.13,66.9,67.33,73.26,75.19,75.68,76.14,76.28,76.37,76.73,76.85,795.3,790.4,816.9,819,817,820.4,801.2,811.3
fregion,Northcaucasian,Северо-Кавказский федеральный округ,69.93,72.19,72.62,73.22,73.95,74.11,74.63,75.13,64.58,67.42,67.97,68.87,69.67,69.86,70.42,71.05,75.32,76.78,77.06,77.29,77.93,78.1,78.55,78.91,701.7,609.4,652.5,662.8,687.1,669.6,655.3,645.9
fdistrict,RU-DA,Республика Дагестан,73.13,73.87,74.26,74.9,75.63,75.83,76.39,77.23,69.05,69.97,70.56,71.56,72.31,72.56,73.18,74.19,77.07,77.68,77.85,78.1,78.82,78.95,79.47,80.12,844.4,786.9,806.1,815.2,816.5,815.8,788.8,803.4
fregion,RU-KB,Кабардино-Балкарская Республика,68.9,72.11,72.44,73.27,73.71,74.16,74.61,75.12,62.78,67.13,67.52,68.47,69.03,69.36,69.82,70.79,75.19,76.84,77.19,77.72,78.08,78.69,79.1,79.09,387.7,399.8,405.8,402.6,448.7,434.7,466.2,447.3
fregion,RU-KC,Карачаево-Черкесская Республика ,69.61,72.44,72.85,73.38,73.94,73.91,74.44,74.72,63.65,67.29,67.64,68.37,69.21,69.04,69.94,70.13,75.69,77.34,77.8,77.98,78.33,78.47,78.66,78.9,465.4,449.4,495.1,587.4,676.3,574.1,690.3,634.4
fregion,RU-SE,Республика Северная Осетия,69.6,72.65,72.59,73.41,73.94,73.82,74.2,75.05,63.33,66.85,66.75,67.87,68.46,68.76,68.62,69.72,76.01,78.16,78.19,78.6,79.06,78.48,79.42,79.92,598.8,646.5,685.5,677,698.4,709.6,707.3,722.6
fregion,RU-CE & RU-IN,Чеченская Республика ,72.07,71.55,72.13,71.88,73.2,73.06,73.45,74.2,67.52,68.31,68.61,68.98,70.23,70.01,70.35,71.43,76.55,74.7,75.57,74.64,76.01,75.99,76.44,76.78,,493.1,571.4,589.1,637.5,629.7,604.7,517.7
fregion,RU-STA,Ставропольский край,67.76,71.01,71.57,72.15,72.75,72.75,73.36,73.4,61.94,65.63,66.44,67.27,67.91,67.85,68.61,68.57,73.88,76.3,76.53,76.75,77.27,77.42,77.82,77.95,495.2,527.9,579.2,586.1,599.2,571.1,560.2,591.4
fregion,Volga,Приволжский федеральный округ,65.29,68.38,69.24,69.79,70.06,70.2,70.71,71.39,58.68,62.23,63.13,63.76,64.04,64.17,64.83,65.66,72.63,74.72,75.44,75.84,76.1,76.26,76.55,77,810.3,867.2,877.9,865.8,873.6,872.3,870.7,857.5
fdistrict,RU-BA,Республика Башкортостан,66.59,68.89,69.04,69.32,69.63,69.76,70.08,71,60.41,63.06,63.13,63.34,63.66,63.79,64.31,65.33,73.29,74.95,75.17,75.53,75.84,75.99,76.03,76.77,807,894.5,860.6,847.6,841.3,862.6,849.8,844.9
fregion,RU-ME,Республика Марий Эл,63.53,67.34,68.31,69.04,69.3,69.42,69.8,70.75,56.78,60.95,61.94,62.82,62.82,62.87,63.52,64.68,71.37,74.3,75.08,75.55,76.13,76.39,76.36,76.93,743.3,864,863.5,894.7,869.8,882.4,915,935.7
fregion,RU-MO,Республика Мордовия,66.66,69.25,70.11,70.72,70.56,71.38,72.06,72.25,60.1,63.42,64.12,64.59,64.79,65.2,66.49,66.76,74.01,75.27,76.23,76.94,76.39,77.66,77.54,77.66,681.8,725.7,710.3,691.3,713.5,684.5,683.7,658.9
fregion,RU-TA,Республика Татарстан,67.93,70.42,71.3,71.8,72.12,72.17,72.81,73.64,61.31,64.41,65.38,65.95,66.35,66.39,67.05,68.15,75.01,76.47,77.18,77.53,77.73,77.83,78.38,78.83,804.5,846.2,849.8,845.2,831.6,841.1,804.2,792.3
fregion,RU-UD,Удмуртская Республика,64.43,68.1,68.88,69.73,69.92,70.03,70.46,70.86,57.5,61.64,62.58,63.4,63.52,63.55,64.24,64.59,72.19,74.76,75.26,76.07,76.33,76.52,76.64,77.08,893.7,958,947.7,919,942.2,945.4,968.2,991
fregion,RU-CU,Чувашская Республика,66.34,68.54,69.66,70.31,70.79,70.62,71.35,71.52,59.89,62.3,63.44,64.31,64.59,64.46,65.53,65.61,73.44,75.17,76.17,76.48,77.19,77.02,77.24,77.57,858.6,936.9,996.9,1006.4,1039.2,1019,983.4,934.2
fregion,RU-PER,Пермский край,62.28,66.57,67.52,68.28,68.75,69.04,69.09,69.74,55.65,60.21,61.3,62.24,62.61,63.14,63.08,63.95,69.89,73.19,73.86,74.3,74.89,74.84,75.09,75.38,894.4,931.3,937.3,928.4,929.7,981.6,979.7,950.2
fregion,RU-KIR,Кировская область,64.12,68.24,69.32,69.79,70.26,70.59,71.11,71.71,57.82,62.14,63.38,63.91,64.31,64.44,65.2,65.77,71.48,74.76,75.43,75.8,76.29,76.89,77.09,77.65,739.9,804.5,788.5,767.2,788.6,755,756.7,746.4
fregion,RU-NIZ,Нижегородская область ,63.42,67.01,68.48,68.98,69.42,69.53,70.17,70.75,56.42,60.52,62.07,62.63,63.06,63.3,64.05,64.69,71.45,73.79,74.93,75.3,75.75,75.69,76.14,76.61,739.5,855.2,881.9,866.9,894.6,919.3,912.1,913
fregion,RU-ORE,Оренбургская область,64.86,67.95,68.31,68.64,68.9,68.73,69.63,70.57,58.51,61.89,62.36,62.79,63.1,62.78,63.87,64.94,71.92,74.31,74.47,74.63,74.82,74.87,75.47,76.18,891.4,857,851.9,820.5,811,789.5,779,792.9
fregion,RU-PNZ,Пензенская область,65.61,69.28,70.23,70.87,71.54,71.63,72.12,72.53,58.73,62.97,63.84,64.9,65.47,65.67,66.47,66.81,73.37,75.81,76.79,76.8,77.52,77.51,77.58,78.04,848.8,760.5,760.9,748.4,736.1,717.3,747,732.8
fregion,RU-SAM,Самарская область,66.05,68.13,69.02,69.65,69.4,69.63,70.35,71.08,59.37,62.02,62.9,63.49,63.28,63.35,64.34,65.37,73.24,74.32,75.16,75.77,75.5,75.93,76.28,76.58,855.3,944.5,1019.1,997.2,1043.6,1016,1033.7,975.7
fregion,RU-SAR,Саратовская область,65.87,68.89,69.86,70.27,70.67,70.95,71.4,72.07,59.46,63,64.04,64.51,65.01,65.26,65.83,66.86,72.83,74.85,75.59,75.94,76.19,76.48,76.78,76.97,688.4,749.6,756.4,738.3,763.5,736.6,751.2,749.4
fregion,RU-ULY,Ульяновская область,65.38,68.54,69.5,70.62,70.5,70.37,70.46,70.97,58.72,62.35,63.25,64.7,64.64,64.52,64.5,65.22,72.8,74.91,75.9,76.43,76.3,76.2,76.45,76.67,858.5,895,946.1,969,914.8,853,891.7,872.4
fregion,Urals,Уральский федеральный округ,65.15,68.82,69.42,69.65,70.06,70.2,70.38,70.82,58.69,62.83,63.5,63.82,64.14,64.3,64.55,65.04,72.25,74.86,75.31,75.43,75.93,76.04,76.15,76.5,786,813.3,823.2,814.6,834.4,816.8,806.2,829.5
fdistrict,RU-KGN,Курганская область,64.09,67.66,68.36,68.35,68.27,68.75,69.03,69.43,57.35,61.35,62.03,62.13,61.93,62.54,62.82,63.35,71.78,74.3,75.01,74.87,74.97,75.2,75.51,75.71,813.3,865,868.8,816.5,889.7,914.8,925.2,970.4
fregion,RU-SVE,Свердловская область ,64.47,68.81,69.29,69.5,69.81,69.76,69.83,70.02,57.75,62.69,63.23,63.51,63.64,63.71,63.75,63.94,71.87,74.91,75.27,75.34,75.86,75.68,75.83,76.02,718.2,727.8,739.7,734.1,766.8,747.8,728.1,752.1
fregion,RU-TYU,Тюменская область,64.95,68.12,69.41,69.45,70.14,70.32,70.58,71.03,58.41,61.95,63.36,63.41,64.23,64.55,64.95,65.53,72.19,74.55,75.6,75.63,76.13,76.14,76.26,76.55,798.4,658.5,648.1,654,648.6,638,637.5,637
fregion,RU-KHM,Ханты-Мансийский автномный округ,67.82,70.3,70.91,71.79,72.23,72.27,72.58,73.5,62.13,65.2,66.03,66.88,67.27,67.32,67.57,68.91,74.01,75.41,75.73,76.64,77.08,77.13,77.47,77.89,891.4,911.7,908.5,919.7,937.9,879,883.7,901.4
fregion,RU-YAN,Ямало-Ненецкий автономный округ,67.58,70.05,70.16,70.66,71.23,71.92,71.7,72.13,61.99,65.59,65.62,66.26,66.53,67.02,66.9,67.15,73.72,74.57,74.88,75.15,75.88,76.86,76.37,77.01,1178,1151.5,1180.7,1122.1,1191.9,1132.1,1096.9,1180.4
