dz_label,int_geog,overall_deprivation_rank_2004,overall_deprivation_rank_2006,overall_deprivation_rank_2009,overall_deprivation_rank_2012,income_deprivation_rank_2004,income_deprivation_rank_2006,income_deprivation_rank_2009,income_deprivation_rank_2012,employment_deprivation_rank_2004,employment_deprivation_rank_2006,employment_deprivation_rank_2009,employment_deprivation_rank_2012,health_deprivation_rank_2004,health_deprivation_rank_2006,health_deprivation_rank_2009,health_deprivation_rank_2012,education_deprivation_rank_2004,education_deprivation_rank_2006,education_deprivation_rank_2009,education_deprivation_rank_2012,housing_deprivation_rank_2004,housing_deprivation_rank_2006,housing_deprivation_rank_2009,housing_deprivation_rank_2012,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012
S01003590,Yoker South,514,420,707,515,390,198,350,596,918,430,1116,642,498,887,1672,1362,356,952,459,101,527,527,527,527,507,964,522
S01003591,Kelvinside and Jordanhill,6062,6283,6332,6132,5942,5873,6097,5844,6038,5841,6043,5780,5855,6101,6124,6028,6155,6181,5939,6037,5139,5139,5139,5139,5257,5577,5364
S01003592,Ruchill,273,608,750,685,446,717,866,767,510,509,581,491,47,1062,1742,1830,226,543,375,445,464,464,464,464,628,1494,1577
S01003593,Scotstoun South and West,837,809,1357,1945,822,912,1213,1777,781,849,1740,2396,564,1002,1154,1667,1504,628,1053,1967,1088,1088,1088,1088,320,754,475
S01003594,Kelvindale,5193,5517,5748,5981,4195,4466,5436,5327,5127,5763,6182,6035,4007,3806,3809,4065,5740,6151,6386,6362,4731,4731,4731,4731,2636,1720,4054
S01003595,Possil Park,2,22,5,29,6,55,12,45,15,70,13,50,19,11,9,60,4,3,6,30,414,414,414,414,157,190,243
S01003596,Wyndford,137,108,88,73,441,209,228,78,37,13,27,17,41,224,314,358,456,409,63,531,174,174,174,174,1144,1209,476
S01003597,Kelvinside and Jordanhill,4540,5037,4905,5841,4338,4636,4838,5990,3122,4605,3912,5409,3245,3011,3664,4259,5995,5796,5866,5792,4794,4794,4794,4794,4304,2456,3535
S01003598,Barmulloch,705,1040,1194,1187,1185,1172,1229,1084,876,1418,1158,1172,581,600,795,961,325,714,1248,1304,448,448,448,448,2728,2612,2750
S01003599,Possil Park,624,483,745,1013,826,573,717,1255,622,286,979,1293,463,683,699,362,712,953,659,1275,509,509,509,509,625,806,862
S01003600,Wyndford,219,203,116,76,410,262,194,124,144,78,49,43,162,304,108,50,471,436,417,456,87,87,87,87,2978,1355,1484
S01003601,Springburn East and Cowlairs,361,475,206,178,313,301,158,148,482,842,417,282,282,511,325,310,588,368,119,245,470,470,470,470,831,396,368
S01003602,Balornock,787,1043,1287,1227,1344,1281,1292,1401,847,618,862,785,613,987,1432,1458,629,1858,2256,1453,497,497,497,497,3049,2396,3228
S01003603,Knightswood East,280,345,342,208,300,319,257,267,193,207,139,74,247,635,692,395,738,923,1472,1044,827,827,827,827,402,942,649
S01003604,Ruchill,802,935,923,838,726,837,916,852,1288,1371,959,1078,537,518,1090,833,1258,1274,1314,914,108,108,108,108,798,293,308
S01003605,Knightswood East,327,337,392,259,304,269,168,322,191,153,332,68,218,587,916,881,2060,1536,1563,1203,691,691,691,691,553,165,254
S01003606,Springburn,908,1440,1429,1034,1415,1362,1217,1050,763,1352,1352,727,596,1070,1328,813,1027,1846,1774,2049,1160,1160,1160,1160,1730,2659,2250
S01003607,Balornock,957,1270,1664,1388,1157,1432,1764,1475,1427,1098,1721,1385,776,1233,1132,1035,744,1348,1982,1685,688,688,688,688,3371,3431,4314
S01003608,Yoker South,614,953,1323,1527,837,1125,1043,1322,480,693,925,1127,641,977,1064,1385,579,753,2540,2855,1326,1326,1326,1326,2498,4907,2780
S01003609,Kelvinside and Jordanhill,5368,5477,5174,5062,4372,4014,3801,3920,4868,5483,4622,4927,4340,4839,4683,3578,5992,6205,6192,6385,2916,2916,2916,2916,3360,4587,3303
S01003610,Yoker South,511,555,418,485,455,338,289,292,1136,944,812,769,699,629,652,877,91,339,106,329,408,408,408,408,2847,1139,1474
S01003611,Springburn East and Cowlairs,97,223,260,254,211,266,304,254,49,336,267,374,77,247,191,129,94,44,239,327,707,707,707,707,1364,1523,1153
S01003612,Anniesland East,5200,4843,4636,4742,4498,4555,4424,3729,4826,4217,3660,4329,4347,3903,4124,4080,4876,4214,5057,4572,2848,2848,2848,2848,4940,2525,5609
S01003613,Robroyston and Millerston,3458,3541,3472,3890,3417,3679,3074,3681,3383,4197,3966,4199,2821,2867,2721,2894,4396,3386,3889,4213,3601,3601,3601,3601,2264,3393,3558
S01003614,Kelvinside and Jordanhill,2783,3077,3154,3253,2943,2640,2400,2391,2381,1974,2418,2709,1789,3258,3314,2786,6081,5931,5729,5867,864,864,864,864,4008,3010,4481
S01003615,Yoker South,225,540,532,854,102,473,456,523,403,1032,703,893,390,739,857,2391,211,107,301,563,958,958,958,958,954,814,2836
S01003616,Robroyston and Millerston,5069,5313,5556,5544,5441,5144,4814,4955,5919,5609,5590,5668,5295,5356,5633,5773,2949,4762,3853,3946,4589,4589,4589,4589,4926,5405,4870
S01003617,Wyndford,61,105,73,60,106,114,92,60,79,92,71,52,126,265,230,212,27,271,77,221,172,172,172,172,511,1222,403
S01003618,Knightswood Park East,2275,2600,2493,2976,2234,2125,2082,2708,1930,2395,2342,3129,1639,2155,1739,1835,4033,3370,3430,3402,1523,1523,1523,1523,4066,3511,2909
S01003619,Wyndford,315,274,234,207,439,175,99,120,329,231,337,366,213,705,656,581,406,405,259,223,295,295,295,295,1304,751,471
S01003620,Kelvindale,5157,5398,5318,5172,4831,5041,4946,4610,4999,4186,4600,4677,5161,5750,4713,5395,5552,5534,5485,4949,1964,1964,1964,1964,5131,5322,3954
S01003621,Possil Park,282,527,523,528,618,539,706,625,146,386,308,591,232,462,342,241,320,941,844,661,970,970,970,970,3291,4477,2988
S01003622,Knightswood East,1130,1589,1763,1794,1259,1350,1400,1701,1042,1126,1275,1861,803,1611,1633,950,1494,2468,3313,2149,930,930,930,930,4150,4181,4105
S01003623,Kelvindale,5370,5458,5428,5351,4877,4564,4594,5184,5061,4616,5214,4779,4897,5441,4843,4731,5833,6108,5943,6083,3944,3944,3944,3944,3796,4686,3818
S01003624,Possil Park,192,514,590,556,475,693,735,860,175,517,833,814,196,388,416,168,88,424,314,480,659,659,659,659,1745,1088,1220
S01003625,Wyndford,104,1044,2005,1906,147,1465,2622,3090,112,2127,2540,2399,64,1184,3201,4998,137,139,439,123,440,440,440,440,499,1385,1740
S01003626,Robroyston and Millerston,3715,4101,4353,4182,3781,4303,4309,4242,4303,5097,4455,4110,3368,4159,3849,3633,2831,3364,3360,4062,2553,2553,2553,2553,1953,2966,2924
S01003627,Springburn East and Cowlairs,177,311,224,150,224,471,255,302,149,370,350,104,316,473,430,598,206,33,3,6,820,820,820,820,2777,2463,1508
S01003628,Balornock,328,508,507,683,753,843,852,848,331,675,676,759,217,547,463,753,163,89,207,451,501,501,501,501,1055,325,1194
S01003629,Possil Park,190,314,444,249,305,349,468,356,215,359,465,386,78,229,295,153,281,421,668,294,376,376,376,376,1724,1525,797
S01003630,Knightswood Park West,571,1085,1132,1085,771,1118,954,831,352,542,602,861,670,1385,1802,1256,740,2303,2443,1974,1335,1335,1335,1335,2082,1382,1637
S01003631,Knightswood Park East,1918,3759,3924,4021,2021,3507,3233,3208,1654,3447,3666,4102,1539,3453,4436,4099,2286,3523,3435,3255,1955,1955,1955,1955,3563,3570,3791
S01003632,Anniesland East,4965,5124,5123,4926,4305,4416,4175,4125,5330,4674,4735,4173,5050,5373,5519,5940,3726,4902,4774,5663,1960,1960,1960,1960,4223,3687,4036
S01003633,Yoker South,2091,2088,2468,2425,2208,1701,2016,2194,2318,2194,2378,2473,1584,2552,2389,2518,1598,2070,3113,1812,974,974,974,974,1543,1418,2516
S01003634,Balornock,293,450,469,343,407,440,443,418,424,560,486,384,293,315,428,256,182,450,652,511,454,454,454,454,2245,2018,1383
S01003635,Anniesland East,1862,1443,1557,1123,2147,1361,1575,1130,1779,1065,917,718,1883,2546,2132,1640,2121,2290,3209,1818,136,136,136,136,437,1040,750
S01003636,Milton West,157,252,358,329,438,467,655,517,158,282,362,264,96,327,260,288,69,68,198,418,204,204,204,204,991,1260,2208
S01003637,Anniesland West,1890,1959,2093,2242,1707,1348,1411,1849,1827,2157,2212,2553,1669,2122,1550,1208,2660,2877,3198,2725,642,642,642,642,1043,3502,3139
S01003638,Kelvindale,3561,3662,3669,3913,3925,3041,3047,3277,3401,3234,3333,3597,2695,3793,4279,4289,4853,4462,4362,4569,1199,1199,1199,1199,5052,3247,3547
S01003639,Knightswood West,778,1027,1026,1186,1295,1243,1136,1141,688,868,822,897,1015,1307,1114,1833,354,533,900,843,535,535,535,535,3730,3032,4548
S01003640,Milton West,281,335,442,350,425,348,567,433,443,391,437,525,179,344,356,185,227,435,445,413,149,149,149,149,1443,1488,1146
S01003641,Robroyston and Millerston,4959,5034,4649,4598,5880,5809,4127,4259,5722,5023,4334,4307,4302,4420,4383,4889,2461,3483,3886,3767,5840,5840,5840,5840,5370,5277,4066
S01003642,Knightswood East,1560,1729,1736,1753,2027,1608,1414,1310,1273,1218,1547,1915,988,1914,1761,1403,1696,2315,2111,2011,1033,1033,1033,1033,4199,3625,3688
S01003643,Maryhill West,720,2010,2378,1728,696,2783,2796,1528,994,2917,2808,1632,428,1630,3486,3979,988,978,1164,1851,590,590,590,590,524,661,464
S01003644,Springburn,393,496,287,267,511,636,359,394,285,503,227,258,468,409,262,124,692,476,492,649,885,885,885,885,1392,790,655
S01003645,Knightswood Park West,1207,1805,1819,1724,1260,1717,1784,1511,957,1724,1613,2111,1413,1559,1200,1203,1549,2477,3042,2417,1112,1112,1112,1112,2516,2788,2052
S01003646,Knightswood Park East,68,116,84,103,72,223,73,184,143,154,112,63,89,558,713,812,80,39,107,118,267,267,267,267,171,203,138
S01003647,Anniesland West,1863,1632,1948,2161,1836,1663,1526,1826,1740,1495,1892,2218,1765,1152,1391,1606,2073,2281,3025,2433,1017,1017,1017,1017,1310,2425,2803
S01003648,Anniesland West,2434,2658,2863,2847,2641,2060,2399,2585,3242,3268,3432,3107,1554,2315,1990,2376,1643,2067,2066,2081,412,412,412,412,2633,4507,3646
S01003649,Springburn East and Cowlairs,2754,3115,3134,2963,3391,3155,2695,2751,3013,2947,3152,3131,2226,2066,2713,2378,1946,2722,2571,2572,2324,2324,2324,2324,4883,4273,4148
