dz_label,int_geog,overall_deprivation_rank_2004,overall_deprivation_rank_2006,overall_deprivation_rank_2009,overall_deprivation_rank_2012,income_deprivation_rank_2004,income_deprivation_rank_2006,income_deprivation_rank_2009,income_deprivation_rank_2012,employment_deprivation_rank_2004,employment_deprivation_rank_2006,employment_deprivation_rank_2009,employment_deprivation_rank_2012,health_deprivation_rank_2004,health_deprivation_rank_2006,health_deprivation_rank_2009,health_deprivation_rank_2012,education_deprivation_rank_2004,education_deprivation_rank_2006,education_deprivation_rank_2009,education_deprivation_rank_2012,housing_deprivation_rank_2004,housing_deprivation_rank_2006,housing_deprivation_rank_2009,housing_deprivation_rank_2012,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012
S01003707,Drumry West,86,63,127,154,17,29,147,207,348,266,494,448,333,106,88,173,2,12,29,42,26,26,26,26,167,256,295
S01003708,Drumchapel North,12,26,9,13,13,1,3,2,16,10,14,9,79,177,127,248,113,194,15,15,563,563,563,563,413,313,603
S01003709,Drumry East,40,28,10,6,162,58,20,3,29,17,11,6,49,125,72,66,37,27,33,96,66,66,66,66,493,174,45
S01003710,Summerston Central and West,185,268,182,461,471,287,233,753,188,220,180,398,93,197,236,246,154,725,526,1417,560,560,560,560,2683,1334,1754
S01003711,Drumchapel North,98,104,64,81,32,103,63,99,180,206,174,184,454,198,58,72,116,116,85,161,418,418,418,418,587,436,709
S01003712,Drumry West,243,321,230,407,183,157,196,519,484,738,419,499,778,267,148,324,89,326,219,279,266,266,266,266,1272,1067,1377
S01003713,Drumry East,147,334,481,538,165,589,781,561,362,458,586,981,145,429,578,913,84,31,131,110,8,8,8,8,1276,1344,996
S01003714,Drumchapel North,309,418,976,1112,368,454,926,806,502,863,1933,1441,406,347,954,1932,208,145,343,659,185,185,185,185,1416,1160,2378
S01003715,Drumry West,779,2040,2560,2500,729,2160,2821,2736,1550,2304,2799,2512,1556,2528,3071,3361,233,782,1303,1699,845,845,845,845,4314,3308,4163
S01003716,Drumchapel North,66,106,168,186,30,69,95,95,287,242,294,387,125,603,944,1230,51,29,82,45,6,6,6,6,725,1363,1697
S01003717,Drumry East,93,127,136,99,126,177,135,189,270,356,326,145,165,214,388,279,1,6,17,28,2,2,2,2,606,993,1004
S01003718,Drumry East,115,284,248,302,128,339,243,395,234,546,487,464,271,243,455,234,5,84,93,323,490,490,490,490,1534,943,1664
